"Cocunut","Mortgage_YN","AGE_AT_ORIGINATION","AGE","YEARS_WITH_BANK","MARTIAL_STATUS","EDUCATION","EMPLOYMENT","GENDER","CUST_INCOME","CURRENT_ADDRESS_DATE","CURRENT_JOB_DATE","CURRENT_WITH_BANK_DATE","CURRENT_BALANCE_EUR","YEARS_WITH_CURRENT_JOB"
74540,"N",NA,63,0,"M","BCR","RET","F",292.3076923,1986-08-10,2001-11-06,2016-08-19,318.4897692,21.700205338809
74541,"N",NA,50,2,"M","HGH","PVE","F",305.0359231,1997-01-01,2004-10-01,2015-06-29,4577.400385,18.798083504449
74545,"N",NA,34,10,"D","HGH","STE","F",302.6656154,2002-07-21,2009-10-07,2007-04-17,499.6899231,13.782340862423
74549,"N",NA,69,14,"M","HGH","RET","M",218.4718462,1975-01-01,9999-10-01,2003-04-03,5215.558385,15.8110882956879
74553,"N",NA,74,12,"W","HGH","RET","M",249.914,2004-09-03,2005-10-01,2004-09-02,109.2916154,17.7987679671458
74554,"N",NA,62,12,"M","BCR","STE","F",300.0153846,2005-08-04,1993-10-07,2004-07-23,2268.491692,29.782340862423
74557,"N",NA,39,8,"M","HGH","PVE","M",546.3486923,2005-09-01,2008-07-15,2008-07-22,301.8510769,15.0116358658453
74564,"N",NA,47,10,"M","BCR","PVE","M",181.4807692,2003-01-01,2011-09-12,2007-01-15,2228.960462,11.8521560574949
74567,"N",NA,45,11,"M","HGH","PVE","F",227.6923077,1996-09-15,2003-07-01,2005-09-07,5581.980846,20.0520191649555
74575,"N",NA,63,11,"D","BCR","RET","F",391.7692308,2008-08-30,9999-10-01,2006-03-08,955.578,15.8110882956879
74577,"N",NA,70,5,"M","HGH","RET","M",332.0413846,1974-06-01,9999-10-01,2012-01-11,5371.453846,15.8110882956879
74580,"N",NA,44,12,"M","PHD","STE","F",750.8153846,2005-12-01,1998-09-30,2005-06-27,2268.491692,24.8021902806297
74588,"N",NA,26,0,"M","HGH","PVE","F",281.5384615,1991-11-12,2014-12-01,2016-08-22,455.26,8.63244353182752
74589,"N",NA,35,0,"M","HGH","PVE","M",461.5384615,1989-01-01,2010-08-01,2016-08-26,460.6814615,12.9664613278576
74591,"N",NA,52,5,"M","HGH","STE","F",206.9638462,1985-01-01,1999-01-01,2012-04-24,4577.400385,24.5475701574264
